"","x"
"1",68
"2",129
"3",34
"4",125
"5",87
"6",43
"7",14
"8",82
"9",59
"10",51
"11",97
"12",85
"13",21
"14",106
"15",54
"16",110
"17",74
"18",7
"19",73
"20",79
"21",119
"22",37
"23",105
"24",89
"25",101
"26",109
"27",128
"28",107
"29",44
"30",111
"31",33
"32",84
"33",35
"34",70
"35",114
"36",42
"37",38
"38",20
"39",28
"40",93
"41",102
"42",126
"43",120
"44",40
"45",90
"46",25
"47",88
"48",39
"49",121
"50",95
"51",6
"52",24
"53",32
"54",124
"55",2
"56",45
"57",18
"58",22
"59",65
"60",99
"61",71
"62",13
"63",103
"64",48
"65",23
"66",29
"67",69
"68",60
"69",112
"70",72
"71",92
"72",86
"73",67
"74",100
"75",75
"76",118
"77",31
"78",94
"79",17
"80",9
"81",83
"82",66
"83",19
"84",26
"85",127
"86",30
"87",81
"88",78
"89",50
"90",61
"91",104
"92",10
"93",1
"94",47
"95",15
"96",41
"97",117
"98",12
"99",116
"100",113
"101",130
"102",55
"103",63
"104",62
