"","x"
"1",324
"2",167
"3",129
"4",418
"5",471
"6",299
"7",270
"8",466
"9",187
"10",307
"11",481
"12",85
"13",277
"14",362
"15",438
"16",330
"17",263
"18",329
"19",79
"20",213
"21",37
"22",105
"23",217
"24",366
"25",165
"26",290
"27",487
"28",382
"29",89
"30",428
"31",463
"32",289
"33",340
"34",419
"35",326
"36",485
"37",42
"38",422
"39",111
"40",404
"41",412
"42",20
"43",44
"44",377
"45",343
"46",70
"47",121
"48",40
"49",172
"50",25
"51",375
"52",248
"53",198
"54",378
"55",39
"56",435
"57",298
"58",390
"59",280
"60",160
"61",14
"62",130
"63",45
"64",402
"65",22
"66",206
"67",230
"68",193
"69",371
"70",104
"71",493
"72",255
"73",430
"74",431
"75",103
"76",331
"77",13
"78",296
"79",478
"80",176
"81",345
"82",279
"83",110
"84",84
"85",359
"86",29
"87",141
"88",252
"89",406
"90",221
"91",108
"92",304
"93",33
"94",486
"95",149
"96",287
"97",102
"98",145
"99",483
"100",456
"101",339
"102",118
"103",346
"104",409
"105",107
"106",64
"107",224
"108",426
"109",316
"110",51
"111",411
"112",475
"113",138
"114",498
"115",495
"116",282
"117",143
"118",285
"119",170
"120",48
"121",204
"122",295
"123",24
"124",181
"125",214
"126",423
"127",225
"128",400
"129",398
"130",163
"131",43
"132",1
"133",415
"134",78
"135",496
"136",284
"137",116
"138",233
"139",293
"140",61
"141",86
"142",327
"143",497
"144",355
"145",491
"146",300
"147",49
"148",392
"149",242
"150",246
"151",305
"152",306
"153",247
"154",239
"155",219
"156",135
"157",462
"158",459
"159",391
"160",53
"161",439
"162",397
"163",65
"164",357
"165",479
"166",124
"167",77
"168",218
"169",98
"170",194
"171",19
"172",273
"173",31
"174",174
"175",237
"176",75
"177",16
"178",453
"179",265
"180",349
"181",92
"182",122
"183",152
"184",388
"185",207
"186",249
"187",441
"188",229
"189",140
"190",126
"191",440
"192",364
"193",500
"194",271
"195",468
"196",338
"197",437
"198",212
"199",127
"200",133
"201",41
"202",36
"203",297
"204",395
"205",387
"206",303
"207",117
"208",461
"209",50
"210",286
"211",254
"212",72
"213",367
"214",168
"215",309
"216",113
"217",234
"218",454
"219",73
"220",27
"221",337
"222",15
"223",62
"224",132
"225",35
"226",334
"227",336
"228",185
"229",153
"230",328
"231",480
"232",429
"233",231
"234",28
"235",278
"236",148
"237",302
"238",60
"239",356
"240",93
"241",202
"242",332
"243",241
"244",408
"245",413
"246",488
"247",457
"248",294
"249",360
"250",470
"251",447
"252",494
"253",410
"254",467
"255",310
"256",347
"257",209
"258",245
"259",82
"260",97
"261",394
"262",469
"263",341
"264",56
"265",365
"266",268
"267",199
"268",372
"269",178
"270",201
"271",322
"272",259
"273",101
"274",261
"275",325
"276",2
"277",291
"278",131
"279",344
"280",166
"281",348
"282",156
"283",183
"284",197
"285",445
"286",476
"287",370
"288",244
"289",369
"290",173
"291",258
"292",83
"293",151
"294",68
"295",373
"296",393
"297",264
"298",474
"299",180
"300",162
"301",432
"302",74
"303",448
"304",188
"305",499
"306",354
"307",190
"308",161
"309",276
"310",139
"311",414
"312",232
"313",484
"314",90
"315",492
"316",112
"317",405
"318",235
"319",353
"320",477
"321",451
"322",443
"323",81
"324",385
"325",211
"326",177
"327",150
"328",427
"329",3
"330",147
"331",433
"332",128
"333",380
"334",4
"335",251
"336",350
"337",301
"338",106
"339",192
"340",283
"341",23
"342",157
"343",253
"344",333
"345",119
"346",99
"347",434
"348",416
"349",473
"350",256
"351",449
"352",18
"353",458
"354",368
"355",91
"356",32
"357",342
"358",363
"359",144
"360",125
"361",472
"362",21
"363",482
"364",115
"365",228
"366",288
"367",71
"368",169
"369",59
"370",186
"371",58
"372",220
"373",114
"374",444
"375",6
"376",34
"377",191
"378",379
"379",17
"380",275
"381",266
"382",158
"383",407
"384",223
"385",323
"386",66
"387",442
"388",8
"389",260
"390",95
"391",401
"392",417
"393",5
"394",236
"395",358
"396",55
"397",389
"398",317
"399",171
"400",374
