"","x"
"1",68
"2",129
"3",43
"4",14
"5",51
"6",85
"7",21
"8",106
"9",74
"10",7
"11",73
"12",79
"13",37
"14",105
"15",110
"16",34
"17",148
"18",126
"19",89
"20",33
"21",84
"22",70
"23",147
"24",42
"25",111
"26",20
"27",44
"28",121
"29",87
"30",134
"31",128
"32",40
"33",154
"34",25
"35",119
"36",120
"37",138
"38",39
"39",151
"40",132
"41",6
"42",24
"43",32
"44",152
"45",2
"46",45
"47",18
"48",22
"49",78
"50",102
"51",65
"52",104
"53",125
"54",127
"55",103
"56",75
"57",81
"58",13
"59",124
"60",137
"61",48
"62",96
"63",23
"64",135
"65",29
"66",98
"67",108
"68",28
"69",95
"70",136
"71",141
"72",149
"73",31
"74",17
"75",145
"76",139
"77",64
"78",60
"79",117
"80",140
"81",10
"82",1
"83",153
"84",59
"85",26
"86",15
"87",58
"88",91
"89",114
"90",116
"91",80
"92",53
"93",12
"94",118
"95",67
"96",144
"97",88
"98",94
"99",97
"100",86
"101",19
"102",71
"103",35
"104",99
"105",133
"106",155
"107",112
"108",69
"109",115
"110",72
"111",41
"112",143
"113",3
"114",142
"115",107
"116",146
"117",150
"118",27
"119",57
"120",130
"121",61
"122",16
"123",55
"124",4
