"","x"
"1",1017
"2",8004
"3",4775
"4",8462
"5",4050
"6",8789
"7",1301
"8",8522
"9",1799
"10",8229
"11",1129
"12",878
"13",8677
"14",7845
"15",5922
"16",6526
"17",5071
"18",2900
"19",7075
"20",4650
"21",2159
"22",3476
"23",1948
"24",2580
"25",1530
"26",7289
"27",4633
"28",6519
"29",4344
"30",1222
"31",2858
"32",5400
"33",526
"34",1069
"35",5522
"36",8214
"37",5838
"38",5862
"39",6337
"40",5491
"41",7494
"42",1791
"43",4939
"44",465
"45",7976
"46",3863
"47",8276
"48",1895
"49",3101
"50",3990
"51",6877
"52",6764
"53",1328
"54",8749
"55",8479
"56",6473
"57",6995
"58",858
"59",6763
"60",316
"61",733
"62",6273
"63",4907
"64",5051
"65",2330
"66",6429
"67",3992
"68",1706
"69",501
"70",6655
"71",536
"72",6881
"73",7507
"74",7514
"75",3747
"76",5163
"77",29
"78",1942
"79",4934
"80",1820
"81",2281
"82",1966
"83",8561
"84",4182
"85",5603
"86",5742
"87",8547
"88",5939
"89",6956
"90",8553
"91",6902
"92",2866
"93",219
"94",8327
"95",532
"96",3123
"97",6611
"98",2178
"99",5936
"100",7233
"101",5932
"102",4455
"103",2153
"104",1148
"105",1101
"106",1242
"107",1218
"108",4115
"109",8465
"110",418
"111",6563
"112",867
"113",4499
"114",3821
"115",5897
"116",818
"117",4730
"118",664
"119",719
"120",500
"121",3045
"122",6816
"123",6373
"124",8615
"125",8159
"126",8613
"127",3598
"128",3700
"129",5136
"130",8696
"131",785
"132",6789
"133",7131
"134",8053
"135",1572
"136",4401
"137",1833
"138",2461
"139",4225
"140",309
"141",7892
"142",4078
"143",7146
"144",8633
"145",3189
"146",470
"147",1360
"148",1822
"149",1790
"150",8541
"151",8066
"152",3144
"153",4686
"154",8666
"155",8719
"156",5048
"157",455
"158",6500
"159",7793
"160",3306
"161",6217
"162",8207
"163",4158
"164",4486
"165",5987
"166",8834
"167",5447
"168",6809
"169",8174
"170",4096
"171",6887
"172",4084
"173",2110
"174",1172
"175",797
"176",8814
"177",4072
"178",5057
"179",7452
"180",5388
"181",2762
"182",1265
"183",7812
"184",8761
"185",2265
"186",2156
"187",6415
"188",5390
"189",7151
"190",5458
"191",5729
"192",1760
"193",5704
"194",5685
"195",4664
"196",4075
"197",5474
"198",7525
"199",4212
"200",3070
"201",5353
"202",7439
"203",462
"204",6443
"205",4049
"206",6657
"207",7888
"208",2033
"209",731
"210",7039
"211",2813
"212",3805
"213",4771
"214",966
"215",6193
"216",5591
"217",5793
"218",8483
"219",4749
"220",8439
"221",2482
"222",6885
"223",3388
"224",3418
"225",2722
"226",2884
"227",56
"228",7193
"229",934
"230",7640
"231",8109
"232",4590
"233",7883
"234",3552
"235",5123
"236",6803
"237",4257
"238",127
"239",717
"240",7715
"241",7447
"242",676
"243",8817
"244",5795
"245",148
"246",121
"247",8361
"248",1491
"249",2815
"250",1115
"251",6308
"252",3616
"253",3551
"254",6525
"255",436
"256",2137
"257",8137
"258",533
"259",2752
"260",5592
"261",5191
"262",6459
"263",8411
"264",3565
"265",570
"266",6976
"267",1926
"268",5666
"269",1813
"270",7681
"271",2833
"272",7885
"273",5694
"274",7981
"275",5161
"276",7560
"277",8473
"278",4063
"279",7918
"280",8728
"281",724
"282",1354
"283",6164
"284",3255
"285",8650
"286",5199
"287",6017
"288",2016
"289",132
"290",6186
"291",5094
"292",1659
"293",6068
"294",6438
"295",2312
"296",6321
"297",5040
"298",1839
"299",3505
"300",1838
"301",5259
"302",8512
"303",4211
"304",6595
"305",6990
"306",6303
"307",2167
"308",2543
"309",5914
"310",8301
"311",3760
"312",6663
"313",2587
"314",8782
"315",7935
"316",393
"317",7046
"318",7923
"319",4208
"320",5147
"321",4318
"322",6410
"323",4254
"324",8622
"325",2778
"326",8557
"327",7343
"328",6103
"329",7334
"330",4436
"331",6236
"332",5772
"333",99
"334",7684
"335",7983
"336",3200
"337",3822
"338",8090
"339",6989
"340",5763
"341",7805
"342",1190
"343",1459
"344",5117
"345",1776
"346",116
"347",7360
"348",8507
"349",3157
"350",1749
"351",1326
"352",1847
"353",1018
"354",8722
"355",383
"356",771
"357",5207
"358",484
"359",4599
"360",6449
"361",3887
"362",2563
"363",58
"364",4801
"365",2021
"366",8612
"367",2170
"368",1803
"369",1124
"370",313
"371",6790
"372",822
"373",6625
"374",5480
"375",5131
"376",3382
"377",8496
"378",81
"379",3328
"380",3126
"381",2194
"382",5235
"383",5663
"384",2796
"385",6472
"386",2775
"387",7174
"388",1401
"389",5605
"390",7961
"391",3360
"392",8426
"393",1779
"394",7656
"395",4278
"396",8253
"397",4606
"398",1089
"399",1861
"400",8752
"401",7374
"402",7893
"403",8459
"404",2992
"405",3797
"406",6079
"407",1177
"408",8209
"409",1057
"410",3706
"411",6440
"412",7123
"413",2257
"414",1525
"415",6420
"416",5809
"417",2079
"418",8713
"419",7009
"420",3037
"421",6485
"422",3558
"423",4568
"424",7842
"425",2351
"426",7666
"427",3651
"428",6266
"429",1871
"430",5034
"431",5005
"432",8060
"433",363
"434",2573
"435",8533
"436",3329
"437",2373
"438",702
"439",1378
"440",959
"441",2273
"442",8737
"443",5031
"444",8661
"445",744
"446",564
"447",8665
"448",2290
"449",3482
"450",5327
"451",5287
"452",87
"453",4313
"454",5633
"455",860
"456",5620
"457",7817
"458",6134
"459",2446
"460",628
"461",5368
"462",1104
"463",1493
"464",4062
"465",3926
"466",4784
"467",2811
"468",1473
"469",2572
"470",4364
"471",8438
"472",4933
"473",2569
"474",4745
"475",2551
"476",128
"477",7211
"478",1435
"479",102
"480",7255
"481",4066
"482",3457
"483",453
"484",4585
"485",6138
"486",8146
"487",6050
"488",815
"489",644
"490",7238
"491",8240
"492",8151
"493",3437
"494",7120
"495",2608
"496",4358
"497",1590
"498",7368
"499",3352
"500",2899
"501",8610
"502",1821
"503",7917
"504",1759
"505",2107
"506",1019
"507",2020
"508",7757
"509",8627
"510",296
"511",5144
"512",5853
"513",764
"514",5566
"515",8314
"516",3047
"517",1043
"518",376
"519",4562
"520",6101
"521",919
"522",8739
"523",1487
"524",6109
"525",5999
"526",5661
"527",7025
"528",854
"529",8804
"530",108
"531",8813
"532",3862
"533",3018
"534",2285
"535",144
"536",3733
"537",5254
"538",8721
"539",2069
"540",4963
"541",133
"542",8662
"543",386
"544",1802
"545",5756
"546",7500
"547",2158
"548",4297
"549",487
"550",7379
"551",3254
"552",1421
"553",908
"554",3363
"555",247
"556",8054
"557",6320
"558",647
"559",2732
"560",492
"561",3807
"562",3586
"563",1620
"564",7348
"565",3129
"566",5435
"567",553
"568",1864
"569",1443
"570",5238
"571",7445
"572",7200
"573",1031
"574",4330
"575",2531
"576",3417
"577",8350
"578",1587
"579",8690
"580",1651
"581",3402
"582",6818
"583",5776
"584",5195
"585",7512
"586",1630
"587",7998
"588",5527
"589",2136
"590",8375
"591",5148
"592",1524
"593",3946
"594",827
"595",4876
"596",2616
"597",2684
"598",6167
"599",7419
"600",1131
"601",4333
"602",1890
"603",5334
"604",4404
"605",2997
"606",7637
"607",6398
"608",8712
"609",4407
"610",2019
"611",2548
"612",5750
"613",1967
"614",4279
"615",8551
"616",4490
"617",6557
"618",5305
"619",6583
"620",2161
"621",5630
"622",4210
"623",1216
"624",2395
"625",129
"626",2424
"627",3145
"628",2792
"629",314
"630",4324
"631",8101
"632",823
"633",8164
"634",407
"635",5024
"636",8617
"637",280
"638",3579
"639",517
"640",3793
"641",3590
"642",851
"643",8771
"644",3465
"645",8285
"646",6314
"647",7652
"648",793
"649",703
"650",324
"651",3641
"652",3390
"653",6948
"654",2106
"655",787
"656",8068
"657",8099
"658",1591
"659",1373
"660",1592
"661",2320
"662",5251
"663",6569
"664",5988
"665",660
"666",5006
"667",1038
"668",6574
"669",4065
"670",8315
"671",3969
"672",64
"673",2924
"674",4579
"675",2131
"676",920
"677",2507
"678",626
"679",4503
"680",306
"681",6850
"682",5607
"683",5502
"684",4884
"685",4558
"686",2680
"687",4848
"688",2506
"689",6293
"690",8097
"691",375
"692",5920
"693",7924
"694",284
"695",6940
"696",1863
"697",2308
"698",7257
"699",1950
"700",8094
"701",3237
"702",416
"703",3210
"704",2605
"705",4759
"706",7433
"707",6008
"708",1313
"709",4973
"710",3127
"711",1355
"712",1108
"713",6996
"714",4023
"715",8648
"716",8839
"717",2223
"718",3085
"719",7173
"720",2111
"721",7555
"722",8780
"723",8389
"724",4206
"725",3729
"726",6849
"727",1198
"728",4400
"729",5512
"730",7891
"731",384
"732",6776
"733",5330
"734",8747
"735",4270
"736",5846
"737",8710
"738",5943
"739",8158
"740",452
"741",6222
"742",573
"743",1611
"744",5165
"745",6544
"746",153
"747",3451
"748",1700
"749",3781
"750",8027
"751",479
"752",4844
"753",6171
"754",1922
"755",7785
"756",7914
"757",352
"758",6190
"759",7511
"760",1492
"761",6598
"762",197
"763",5843
"764",4083
"765",7826
"766",3298
"767",369
"768",2389
"769",5863
"770",1876
"771",4186
"772",4064
"773",5671
"774",2664
"775",8157
"776",779
"777",5589
"778",635
"779",4365
"780",3647
"781",1812
"782",249
"783",2038
"784",8616
"785",7239
"786",101
"787",7965
"788",3665
"789",520
"790",5670
"791",8599
"792",672
"793",5016
"794",8084
"795",3415
"796",3914
"797",7435
"798",650
"799",4110
"800",4779
"801",6096
"802",4014
"803",5531
"804",617
"805",6145
"806",4676
"807",2599
"808",5881
"809",1846
"810",7191
"811",4223
"812",3327
"813",3680
"814",7568
"815",4392
"816",1428
"817",7300
"818",7031
"819",4105
"820",4729
"821",4944
"822",5361
"823",1247
"824",3338
"825",2465
"826",5864
"827",2577
"828",909
"829",8136
"830",5337
"831",4754
"832",1600
"833",3033
"834",4600
"835",586
"836",2622
"837",4253
"838",6025
"839",812
"840",2480
"841",5956
"842",1562
"843",1653
"844",4582
"845",338
"846",5667
"847",2737
"848",7809
"849",5845
"850",2492
"851",6512
"852",206
"853",5470
"854",3137
"855",5847
"856",442
"857",5687
"858",5879
"859",4777
"860",4842
"861",2267
"862",6919
"863",590
"864",4640
"865",8485
"866",7310
"867",1372
"868",8282
"869",6775
"870",6063
"871",6081
"872",817
"873",2823
"874",2045
"875",220
"876",2904
"877",7898
"878",7095
"879",7030
"880",6517
"881",6558
"882",5413
"883",4952
"884",6584
"885",4572
"886",5672
"887",5227
"888",2214
"889",8086
"890",4637
"891",1647
"892",552
"893",3663
"894",6581
"895",522
"896",611
"897",7671
"898",217
"899",8218
"900",8642
"901",4819
"902",2493
"903",3063
"904",6712
"905",6554
"906",2152
"907",2512
"908",6239
"909",7309
"910",7529
"911",3631
"912",6515
"913",6531
"914",6603
"915",8080
"916",271
"917",6467
"918",1299
"919",2871
"920",4900
"921",6799
"922",1787
"923",7821
"924",4171
"925",7304
"926",5957
"927",4893
"928",1949
"929",4733
"930",5281
"931",7165
"932",27
"933",561
"934",5910
"935",6448
"936",5921
"937",2672
"938",2724
"939",4578
"940",4385
"941",8031
"942",2937
"943",4240
"944",2464
"945",4292
"946",1747
"947",3766
"948",8844
"949",7228
"950",7261
"951",8705
"952",8139
"953",251
"954",5061
"955",888
"956",3115
"957",8128
"958",2693
"959",5912
"960",3531
"961",7882
"962",8309
"963",1598
"964",213
"965",3564
"966",8825
"967",5575
"968",4997
"969",5934
"970",8776
"971",1088
"972",4721
"973",2761
"974",1161
"975",859
"976",3572
"977",1071
"978",6348
"979",15
"980",503
"981",3927
"982",2095
"983",2541
"984",6628
"985",5466
"986",2439
"987",5857
"988",2864
"989",979
"990",3152
"991",8614
"992",4151
"993",2284
"994",8057
"995",610
"996",8023
"997",490
"998",7574
"999",6226
"1000",2116
"1001",656
"1002",8842
"1003",2022
"1004",4327
"1005",3702
"1006",6693
"1007",5135
"1008",7576
"1009",7858
"1010",5176
"1011",7486
"1012",7749
"1013",1252
"1014",2826
"1015",6572
"1016",8808
"1017",3188
"1018",8247
"1019",5167
"1020",2391
"1021",2678
"1022",8242
"1023",413
"1024",203
"1025",8145
"1026",7362
"1027",6660
"1028",8497
"1029",5226
"1030",1546
"1031",1037
"1032",2469
"1033",6722
"1034",139
"1035",1259
"1036",5189
"1037",7740
"1038",1436
"1039",8043
"1040",4901
"1041",6387
"1042",4103
"1043",8559
"1044",4895
"1045",4814
"1046",7799
"1047",8829
"1048",1654
"1049",427
"1050",863
"1051",8205
"1052",3199
"1053",4362
"1054",1716
"1055",8352
"1056",582
"1057",576
"1058",1817
"1059",3114
"1060",5159
"1061",6349
"1062",225
"1063",2956
"1064",3060
"1065",6247
"1066",5578
"1067",185
"1068",2841
"1069",2426
"1070",4609
"1071",5770
"1072",5797
"1073",8081
"1074",245
"1075",5937
"1076",8436
"1077",3679
"1078",2888
"1079",3842
"1080",6727
"1081",4711
"1082",2928
"1083",450
"1084",8138
"1085",665
"1086",5086
"1087",1670
"1088",5692
"1089",7382
"1090",614
"1091",3313
"1092",1090
"1093",7915
"1094",5253
"1095",1249
"1096",3715
"1097",1798
"1098",4836
"1099",6357
"1100",4589
"1101",6100
"1102",4596
"1103",2403
"1104",39
"1105",3833
"1106",7008
"1107",1552
"1108",3176
"1109",7353
"1110",721
"1111",6560
"1112",5761
"1113",8014
"1114",1961
"1115",7545
"1116",1432
"1117",5579
"1118",8302
"1119",2955
"1120",6987
"1121",4910
"1122",5473
"1123",4460
"1124",4896
"1125",6883
"1126",5954
"1127",5767
"1128",6810
"1129",1044
"1130",6417
"1131",2843
"1132",8518
"1133",327
"1134",4039
"1135",3800
"1136",1311
"1137",3330
"1138",6750
"1139",837
"1140",7551
"1141",1205
"1142",8581
"1143",8144
"1144",1768
"1145",4038
"1146",6903
"1147",5049
"1148",2296
"1149",6834
"1150",7285
"1151",435
"1152",5871
"1153",7658
"1154",1693
"1155",6681
"1156",3316
"1157",6160
"1158",1852
"1159",838
"1160",3212
"1161",2490
"1162",4474
"1163",4703
"1164",5396
"1165",4649
"1166",4630
"1167",3977
"1168",3878
"1169",5699
"1170",5654
"1171",556
"1172",3322
"1173",3003
"1174",4346
"1175",8165
"1176",2435
"1177",945
"1178",2772
"1179",6490
"1180",4826
"1181",1279
"1182",7528
"1183",5908
"1184",749
"1185",4286
"1186",224
"1187",8168
"1188",4220
"1189",3448
"1190",7847
"1191",7863
"1192",7040
"1193",3268
"1194",8445
"1195",4904
"1196",6804
"1197",8167
"1198",4360
"1199",2765
"1200",2240
"1201",4588
"1202",8026
"1203",3721
"1204",534
"1205",3022
"1206",2423
"1207",6265
"1208",7207
"1209",8545
"1210",1526
"1211",8077
"1212",5749
"1213",401
"1214",7725
"1215",3279
"1216",4780
"1217",7104
"1218",3929
"1219",34
"1220",7804
"1221",3728
"1222",8499
"1223",6093
"1224",2046
"1225",3288
"1226",6644
"1227",2751
"1228",877
"1229",2374
"1230",7395
"1231",347
"1232",3984
"1233",1302
"1234",3755
"1235",4178
"1236",571
"1237",4866
"1238",5156
"1239",855
"1240",4926
"1241",3580
"1242",5564
"1243",4688
"1244",5727
"1245",7905
"1246",7908
"1247",5418
"1248",1882
"1249",2206
"1250",68
"1251",4618
"1252",4924
"1253",8213
"1254",5184
"1255",5787
"1256",173
"1257",391
"1258",2350
"1259",7306
"1260",505
"1261",4475
"1262",3983
"1263",2289
"1264",3444
"1265",3553
"1266",935
"1267",6054
"1268",1316
"1269",5240
"1270",7565
"1271",6910
"1272",8033
"1273",7634
"1274",3936
"1275",5157
"1276",2878
"1277",2408
"1278",7546
"1279",2438
"1280",90
"1281",6705
"1282",2836
"1283",1623
"1284",1514
"1285",7247
"1286",4473
"1287",2600
"1288",6795
"1289",2499
"1290",1689
"1291",5101
"1292",3510
"1293",8790
"1294",1954
"1295",3387
"1296",4142
"1297",8816
"1298",1511
"1299",773
"1300",3524
"1301",3375
"1302",3650
"1303",5401
"1304",6879
"1305",7143
"1306",5640
"1307",2145
"1308",40
"1309",41
"1310",5291
"1311",4239
"1312",8652
"1313",113
"1314",3890
"1315",4651
"1316",7855
"1317",6744
"1318",2255
"1319",3158
"1320",6262
"1321",8304
"1322",2690
"1323",8542
"1324",7004
"1325",5735
"1326",1641
"1327",4527
"1328",794
"1329",6043
"1330",4111
"1331",4387
"1332",5394
"1333",7992
"1334",4612
"1335",8576
"1336",6376
"1337",3159
"1338",6196
"1339",2705
"1340",6480
"1341",1830
"1342",1359
"1343",6963
"1344",1581
"1345",5958
"1346",5007
"1347",7969
"1348",4778
"1349",2579
"1350",667
"1351",3435
"1352",6906
"1353",4811
"1354",4611
"1355",798
"1356",2511
"1357",3652
"1358",5260
"1359",1778
"1360",2889
"1361",5971
"1362",8495
"1363",738
"1364",2522
"1365",6825
"1366",5690
"1367",2002
"1368",4298
"1369",7957
"1370",1792
"1371",7298
"1372",2756
"1373",6896
"1374",5935
"1375",2056
"1376",759
"1377",1560
"1378",6211
"1379",6251
"1380",8464
"1381",4987
"1382",1258
"1383",8645
"1384",4107
"1385",6238
"1386",5892
"1387",5948
"1388",2228
"1389",2617
"1390",3920
"1391",699
"1392",3277
"1393",340
"1394",2169
"1395",7750
"1396",3792
"1397",3426
"1398",4990
"1399",4996
"1400",3670
"1401",8796
"1402",7182
"1403",3814
"1404",2560
"1405",6384
"1406",3413
"1407",5650
"1408",6394
"1409",2235
"1410",3993
"1411",1698
"1412",1376
"1413",8660
"1414",3845
"1415",4018
"1416",2565
"1417",3956
"1418",4953
"1419",1098
"1420",2166
"1421",5794
"1422",8275
"1423",2041
"1424",7215
"1425",2934
"1426",2538
"1427",4053
"1428",7691
"1429",7729
"1430",814
"1431",4724
"1432",1000
"1433",3682
"1434",5340
"1435",5728
"1436",6335
"1437",6035
