"","x"
"1",1017
"2",679
"3",2177
"4",930
"5",1533
"6",471
"7",2347
"8",270
"9",1211
"10",3379
"11",597
"12",1301
"13",1974
"14",3566
"15",330
"16",1799
"17",1615
"18",1749
"19",37
"20",1129
"21",729
"22",878
"23",485
"24",3749
"25",1826
"26",2922
"27",2430
"28",3673
"29",975
"30",2849
"31",2900
"32",2979
"33",2374
"34",2378
"35",554
"36",1446
"37",2159
"38",3476
"39",1948
"40",2580
"41",1530
"42",2604
"43",2937
"44",343
"45",2630
"46",3193
"47",40
"48",537
"49",2423
"50",248
"51",1222
"52",2426
"53",2087
"54",2483
"55",2858
"56",1414
"57",1304
"58",1696
"59",526
"60",2690
"61",1069
"62",1426
"63",22
"64",1742
"65",1766
"66",2241
"67",1395
"68",2547
"69",1128
"70",3398
"71",983
"72",1791
"73",1516
"74",1640
"75",1639
"76",843
"77",465
"78",996
"79",1549
"80",1200
"81",3417
"82",1134
"83",84
"84",1895
"85",3101
"86",1165
"87",2300
"88",2781
"89",3734
"90",2668
"91",1328
"92",3617
"93",557
"94",1685
"95",287
"96",2662
"97",3217
"98",2377
"99",2535
"100",2903
"101",2899
"102",1522
"103",858
"104",1840
"105",2667
"106",576
"107",990
"108",3562
"109",3071
"110",3175
"111",316
"112",1075
"113",733
"114",1314
"115",2698
"116",3770
"117",811
"118",955
"119",2330
"120",1167
"121",3514
"122",2333
"123",1706
"124",3120
"125",501
"126",2559
"127",3367
"128",536
"129",2741
"130",988
"131",3286
"132",2785
"133",3411
"134",3418
"135",1067
"136",1025
"137",29
"138",1942
"139",838
"140",1820
"141",1652
"142",2281
"143",1317
"144",573
"145",1966
"146",369
"147",2499
"148",86
"149",1507
"150",2375
"151",1646
"152",355
"153",1843
"154",2860
"155",1073
"156",361
"157",1340
"158",1266
"159",3512
"160",2806
"161",1841
"162",2866
"163",247
"164",751
"165",219
"166",135
"167",111
"168",532
"169",2425
"170",408
"171",3123
"172",1589
"173",912
"174",2515
"175",3428
"176",2178
"177",3669
"178",3137
"179",1836
"180",359
"181",2153
"182",1148
"183",2042
"184",1101
"185",1242
"186",1218
"187",19
"188",273
"189",418
"190",1995
