"","x"
"1",24388
"2",43307
"3",4050
"4",11571
"5",25173
"6",32618
"7",13903
"8",8229
"9",25305
"10",25061
"11",22306
"12",39294
"13",12204
"14",43809
"15",7075
"16",26954
"17",42406
"18",36244
"19",31276
"20",45399
"21",16044
"22",6519
"23",33990
"24",26663
"25",19242
"26",21784
"27",16910
"28",21875
"29",25559
"30",46696
"31",21323
"32",13284
"33",7976
"34",9392
"35",3863
"36",26876
"37",39645
"38",23148
"39",13973
"40",31334
"41",39241
"42",47959
"43",28278
"44",858
"45",6763
"46",41950
"47",32480
"48",11367
"49",29747
"50",13602
"51",39041
"52",5051
"53",42127
"54",39197
"55",34474
"56",33269
"57",39423
"58",16920
"59",29660
"60",36515
"61",29697
"62",11854
"63",4934
"64",13940
"65",27075
"66",21987
"67",22126
"68",25649
"69",48568
"70",12535
"71",32987
"72",12399
"73",47481
"74",35891
"75",25488
"76",38704
"77",14330
"78",17626
"79",33986
"80",8465
"81",47051
"82",6563
"83",20205
"84",22281
"85",10844
"86",33432
"87",33487
"88",3045
"89",8615
"90",41381
"91",45196
"92",36366
"93",29670
"94",37904
"95",9346
"96",13824
"97",8696
"98",39557
"99",7131
"100",32671
"101",20785
"102",10816
"103",11114
"104",7146
"105",11096
"106",12597
"107",11878
"108",34558
"109",24450
"110",9086
"111",10148
"112",14504
"113",8613
"114",21432
"115",44660
"116",7793
"117",6217
"118",30249
"119",26244
"120",12669
"121",47181
"122",32441
"123",23193
"124",40942
"125",20480
"126",48818
"127",23836
"128",10271
"129",11564
"130",25186
"131",17649
"132",11260
"133",47541
"134",4182
"135",27416
"136",18540
"137",5390
"138",30929
"139",21842
"140",18144
"141",46058
"142",30407
"143",36843
"144",15104
"145",27540
"146",32331
"147",36980
"148",15782
"149",9413
"150",33230
"151",22827
"152",20433
"153",9690
"154",12129
"155",47428
"156",23423
"157",31184
"158",20189
"159",33734
"160",9383
"161",26593
"162",4749
"163",35250
"164",3418
"165",19268
"166",39961
"167",27729
"168",4590
"169",29001
"170",11158
"171",43112
"172",4257
"173",31156
"174",28932
"175",10688
"176",45237
"177",26028
"178",15737
"179",28573
"180",45347
"181",10185
"182",32916
"183",121
"184",8790
"185",10770
"186",30119
"187",33883
"188",3616
"189",45107
"190",43473
"191",34905
"192",30613
"193",47695
"194",12284
"195",35520
"196",41806
"197",46464
"198",8411
"199",1926
"200",18197
"201",2833
"202",22078
"203",40749
"204",21545
"205",7560
"206",24857
"207",48020
"208",37498
"209",25068
"210",3255
"211",8706
"212",47932
"213",45626
"214",42213
"215",27417
"216",6186
"217",34427
"218",26757
"219",48321
"220",2312
"221",27219
"222",34607
"223",46448
"224",15923
"225",42726
"226",42504
"227",32445
"228",29524
"229",25818
"230",6990
"231",22687
"232",35311
"233",26594
"234",22298
"235",3760
"236",13936
"237",8945
"238",40703
"239",41608
"240",24307
"241",20702
"242",4254
"243",43782
"244",19772
"245",13238
"246",14722
"247",25715
"248",6236
"249",38540
"250",40858
"251",38531
"252",13071
"253",44002
"254",34227
"255",34544
"256",27524
"257",8090
"258",18133
"259",33786
"260",33151
"261",27925
"262",33252
"263",39217
"264",36655
"265",10992
"266",31032
"267",44340
"268",4801
"269",34789
"270",46677
"271",30811
"272",28276
"273",9606
"274",39558
"275",46312
"276",37899
"277",3382
"278",35925
"279",3328
"280",19510
"281",2796
"282",35543
"283",17785
"284",25011
"285",44290
"286",8426
"287",12603
"288",14755
