"","x"
"1",415
"2",463
"3",179
"4",526
"5",195
"6",118
"7",299
"8",229
"9",244
"10",14
"11",374
"12",91
"13",348
"14",355
"15",26
"16",519
"17",426
"18",211
"19",373
"20",143
"21",490
"22",23
"23",309
"24",135
"25",224
"26",166
"27",217
"28",290
"29",477
"30",69
"31",72
"32",76
"33",63
"34",141
"35",210
"36",353
"37",347
"38",153
"39",294
"40",277
"41",539
"42",41
"43",431
"44",90
"45",316
"46",223
"47",16
"48",116
"49",94
"50",262
"51",235
"52",456
"53",86
"54",342
"55",39
"56",159
"57",240
"58",209
"59",530
"60",306
"61",34
"62",4
"63",13
"64",511
"65",383
"66",243
"67",409
"68",308
"69",278
"70",89
"71",416
"72",25
"73",291
"74",424
"75",368
"76",286
"77",396
"78",485
"79",121
"80",110
"81",158
"82",64
"83",398
"84",199
"85",67
"86",151
"87",378
"88",335
"89",85
"90",165
"91",136
"92",51
"93",74
"94",178
"95",362
"96",236
"97",98
"98",330
"99",214
"100",127
"101",212
"102",174
"103",273
"104",302
"105",310
"106",419
"107",232
"108",366
"109",475
"110",350
"111",453
"112",280
"113",113
"114",107
"115",391
"116",455
"117",154
"118",102
"119",255
"120",160
"121",524
"122",155
"123",5
"124",326
"125",272
"126",429
"127",288
"128",501
"129",55
"130",331
"131",238
"132",252
"133",339
"134",486
"135",436
"136",137
"137",226
"138",48
"139",77
"140",83
"141",184
"142",367
"143",407
"144",196
"145",257
"146",168
"147",465
"148",492
"149",470
"150",344
"151",406
"152",20
"153",360
"154",536
"155",349
"156",164
"157",52
"158",364
"159",22
"160",177
"161",42
"162",315
"163",84
"164",11
"165",462
"166",437
"167",452
"168",365
"169",194
"170",427
"171",402
"172",198
"173",249
"174",200
"175",421
"176",250
"177",292
"178",494
"179",33
"180",40
"181",10
"182",399
"183",125
"184",265
"185",263
"186",186
"187",61
"188",474
"189",152
"190",319
"191",54
"192",537
"193",520
"194",289
"195",185
"196",253
"197",115
"198",388
"199",518
"200",498
"201",205
"202",267
"203",469
"204",384
"205",282
"206",215
"207",433
"208",57
"209",105
"210",279
"211",270
"212",134
"213",129
"214",218
"215",106
"216",527
"217",285
"218",386
"219",27
"220",7
"221",245
"222",467
"223",499
"224",440
"225",222
"226",500
"227",145
"228",333
"229",148
"230",163
"231",410
"232",161
"233",66
"234",479
"235",225
"236",117
"237",338
"238",450
"239",412
"240",514
"241",482
"242",45
"243",146
"244",170
"245",329
"246",457
"247",176
"248",320
"249",104
"250",295
"251",506
"252",481
"253",258
"254",381
"255",507
"256",24
"257",130
"258",451
"259",191
"260",509
"261",269
"262",297
"263",369
"264",234
"265",459
"266",80
"267",36
"268",345
"269",403
"270",111
"271",496
"272",443
"273",73
"274",404
"275",172
"276",93
"277",358
"278",458
"279",237
"280",283
"281",371
"282",446
"283",401
"284",483
"285",422
"286",281
"287",393
"288",35
"289",30
"290",301
"291",447
"292",175
"293",535
"294",489
"295",420
"296",376
"297",82
"298",96
"299",464
"300",423
"301",411
"302",395
"303",484
"304",432
"305",323
"306",394
"307",312
"308",230
"309",413
"310",221
"311",317
"312",254
"313",169
"314",303
"315",167
"316",202
"317",81
"318",336
"319",532
"320",417
"321",119
"322",377
"323",428
"324",108
"325",284
"326",147
"327",340
"328",528
"329",31
"330",460
"331",246
"332",382
"333",533
"334",504
"335",363
"336",197
"337",385
"338",522
"339",487
"340",156
"341",287
"342",12
"343",181
"344",201
"345",473
"346",50
"347",466
"348",538
"349",305
"350",296
"351",128
"352",122
"353",521
"354",430
"355",59
"356",3
"357",97
"358",259
"359",392
"360",75
"361",100
"362",251
"363",534
"364",343
"365",390
"366",324
"367",92
"368",298
"369",325
"370",405
"371",53
"372",139
"373",193
"374",8
"375",114
"376",418
"377",29
"378",387
"379",70
"380",448
"381",445
"382",268
"383",219
"384",220
"385",6
"386",491
"387",157
"388",88
"389",247
"390",461
"391",495
"392",274
"393",375
"394",123
"395",120
"396",208
"397",182
"398",359
"399",180
"400",332
"401",304
"402",132
"403",242
"404",192
"405",372
"406",47
"407",37
"408",341
"409",517
"410",19
"411",189
"412",150
"413",103
"414",493
"415",144
"416",60
"417",62
"418",275
"419",9
"420",523
"421",43
"422",513
"423",505
"424",354
"425",207
"426",434
"427",171
"428",480
"429",313
"430",38
"431",454
"432",508
