"","x"
"1",346
"2",690
"3",674
"4",56
"5",25
"6",81
"7",472
"8",329
"9",494
"10",683
"11",480
"12",104
"13",3
"14",179
"15",659
"16",161
"17",384
"18",436
"19",127
"20",260
"21",60
"22",448
"23",488
"24",181
"25",510
"26",133
"27",618
"28",428
"29",547
"30",377
"31",279
"32",291
"33",375
"34",611
"35",148
"36",150
"37",121
"38",169
"39",598
"40",467
"41",108
"42",530
"43",556
"44",423
"45",91
"46",164
"47",544
"48",479
"49",51
"50",119
"51",465
"52",229
"53",642
"54",381
"55",673
"56",89
"57",533
"58",591
"59",357
"60",684
"61",71
"62",688
"63",315
"64",219
"65",414
"66",493
"67",570
"68",271
"69",546
"70",513
"71",574
"72",117
"73",474
"74",168
"75",41
"76",392
"77",281
"78",5
"79",330
"80",492
"81",20
"82",183
"83",568
"84",79
"85",514
"86",69
"87",624
"88",473
"89",639
"90",296
"91",141
"92",132
"93",42
"94",665
"95",193
"96",294
"97",397
"98",264
"99",177
"100",368
"101",433
"102",563
"103",139
"104",520
"105",320
"106",115
"107",453
"108",450
"109",584
"110",396
"111",451
"112",218
"113",159
"114",641
"115",495
"116",109
"117",519
"118",539
"119",393
"120",86
"121",45
"122",112
"123",27
"124",222
"125",266
"126",158
"127",129
"128",316
"129",386
"130",175
"131",300
"132",261
"133",166
"134",585
"135",340
"136",92
"137",412
"138",99
"139",516
"140",128
"141",682
"142",558
"143",435
"144",116
"145",192
"146",85
"147",302
"148",208
"149",602
"150",383
"151",277
"152",87
"153",484
"154",503
"155",305
"156",655
"157",515
"158",569
"159",312
"160",552
"161",58
"162",308
"163",485
"164",111
"165",342
"166",661
"167",646
"168",122
"169",44
"170",390
"171",48
"172",100
"173",313
"174",232
"175",481
"176",360
"177",11
"178",310
"179",213
"180",545
"181",685
"182",256
"183",265
"184",54
"185",146
"186",557
"187",31
"188",236
"189",328
"190",215
"191",6
"192",525
"193",588
"194",548
"195",250
"196",528
"197",614
"198",258
"199",295
"200",496
"201",288
"202",234
"203",601
"204",628
"205",526
"206",419
"207",606
"208",205
"209",243
"210",130
"211",198
"212",399
"213",55
"214",182
"215",616
"216",61
"217",348
"218",670
"219",65
"220",625
"221",137
"222",590
"223",325
"224",627
"225",362
"226",66
"227",101
"228",287
"229",245
"230",206
"231",635
"232",512
"233",501
"234",680
"235",432
"236",380
"237",459
"238",582
"239",447
"240",153
"241",17
"242",190
"243",33
"244",523
"245",668
"246",209
"247",656
"248",622
"249",343
"250",276
"251",634
"252",592
"253",504
"254",597
"255",283
"256",353
"257",475
"258",226
"259",184
"260",36
"261",404
"262",341
"263",52
"264",162
"265",303
"266",84
"267",67
"268",425
"269",290
"270",491
"271",452
"272",335
"273",565
"274",594
"275",455
"276",543
"277",363
"278",645
"279",440
"280",286
"281",367
"282",349
"283",664
"284",13
"285",482
"286",304
"287",7
"288",82
"289",434
"290",257
"291",421
"292",468
"293",449
"294",110
"295",374
"296",431
"297",354
"298",282
"299",225
"300",19
"301",371
"302",306
"303",327
"304",571
"305",681
"306",352
"307",517
"308",663
"309",97
"310",268
"311",402
"312",687
"313",35
"314",242
"315",207
"316",167
"317",573
"318",217
"319",1
"320",408
"321",470
"322",662
"323",351
"324",248
"325",80
"326",522
"327",486
"328",176
"329",251
"330",12
"331",637
"332",580
"333",389
"334",460
"335",8
"336",507
"337",578
"338",643
"339",140
"340",30
"341",9
"342",194
"343",370
"344",551
"345",43
"346",278
"347",652
"348",102
"349",603
"350",118
"351",581
"352",323
"353",322
"354",211
"355",429
"356",105
"357",426
"358",62
"359",407
"360",657
"361",599
"362",70
"363",358
"364",587
"365",535
"366",40
"367",388
"368",270
"369",462
"370",262
"371",355
"372",200
"373",511
"374",280
"375",629
"376",293
"377",14
"378",608
"379",77
"380",678
"381",285
"382",416
"383",605
"384",237
"385",632
"386",223
"387",461
"388",59
"389",247
"390",438
"391",123
"392",532
"393",311
"394",446
"395",24
"396",221
"397",252
"398",170
"399",457
"400",420
"401",391
"402",609
"403",174
"404",579
"405",347
"406",344
"407",29
"408",631
"409",332
"410",345
"411",509
"412",650
"413",476
"414",382
"415",125
"416",307
"417",356
"418",144
"419",149
"420",134
"421",463
"422",595
"423",21
"424",430
"425",94
"426",437
"427",508
"428",612
"429",576
"430",471
"431",124
"432",417
"433",649
"434",201
"435",231
"436",337
"437",613
"438",445
"439",73
"440",477
"441",537
"442",466
"443",502
"444",600
"445",385
"446",378
"447",274
"448",531
"449",398
"450",559
"451",336
"452",401
"453",536
"454",626
"455",241
"456",126
"457",630
"458",593
"459",289
"460",135
"461",658
"462",172
"463",238
"464",186
"465",2
"466",647
"467",180
"468",57
"469",677
"470",334
"471",550
"472",72
"473",686
"474",163
"475",240
"476",534
"477",32
"478",499
"479",366
"480",267
"481",410
"482",572
"483",324
"484",638
"485",505
"486",74
"487",427
"488",273
"489",75
"490",567
"491",88
"492",131
"493",566
"494",22
"495",333
"496",160
"497",151
"498",319
"499",361
"500",28
"501",136
"502",409
"503",253
"504",18
"505",106
"506",331
"507",640
"508",376
"509",443
"510",138
"511",379
"512",365
"513",671
"514",654
"515",23
"516",562
"517",244
"518",275
"519",644
"520",292
"521",107
"522",98
"523",454
"524",249
"525",189
"526",541
"527",199
"528",4
"529",596
"530",542
"531",197
"532",224
"533",216
"534",478
"535",96
"536",233
"537",165
"538",418
"539",38
"540",524
"541",667
"542",299
"543",230
"544",113
"545",114
"546",549
"547",621
"548",415
"549",564
"550",120
"551",269
"552",441
